interval_start,equipment_ID,count_sum,A_028,A_029,A_024,A_045,A_001,A_058,A_064,A_030,A_101,A_002,A_107,A_056,A_015,A_032,A_026,A_003,A_008,A_078,A_070,A_004,A_005,A_009,A_016,A_010,A_027,A_020,A_017,A_048,A_022,A_011,A_012,A_013,A_042,A_023,A_034,A_036,A_079,A_077,A_090,A_021,A_049,A_006,#changes,%idle,%production,%downtime,%performance_loss,%scheduled_downtime,idle/idle,idle/production,idle/downtime,idle/performance_loss,idle/scheduled_downtime,production/idle,production/production,production/downtime,production/performance_loss,production/scheduled_downtime,downtime/idle,downtime/production,downtime/downtime,downtime/performance_loss,downtime/scheduled_downtime,performance_loss/idle,performance_loss/production,performance_loss/downtime,performance_loss/performance_loss,performance_loss/scheduled_downtime,scheduled_downtime/idle,scheduled_downtime/production,scheduled_downtime/downtime,scheduled_downtime/performance_loss,scheduled_downtime/scheduled_downtime,A_043,A_051,A_106,A_050,A_018,A_102,A_031,A_103,A_083,A_081,A_074,A_071,A_073,A_104,A_084,A_105,A_116,A_128,A_109,A_132,A_062,A_131,A_035,A_040,A_039,A_055,A_127,A_007,A_108,A_037,A_119,A_115,A_125,A_124,A_130,A_052,A_129,A_019,A_126,A_110,A_123,A_114,A_120,A_121,A_098,A_095,A_087,A_111,A_117,A_044,A_122,A_085,A_057,A_066,A_112,A_118,A_113,A_093,A_041,A_076,A_088,A_097,A_065,A_091,A_067,A_068,A_033,A_082,A_075,A_099,A_086,A_100,A_096,A_094,A_089,A_092,A_038,A_080,A_069,A_072,A_047,A_059,A_046,A_063,A_053,A_054,A_060,A_061
01-01-2020 14:00,s_1,4,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18,0.021523472,0.861729481,0.052260785,0.020091521,0.044394742,1,0,0,1,0,0,5,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,1,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 15:00,s_1,2,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0,0.870897105,0.117703564,0.011399331,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 17:00,s_1,1,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0.97848266,0.02151734,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 18:00,s_1,4,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,8,0,0.471066036,0.468384213,0,0.060549751,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 19:00,s_1,1,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0.987023691,0.007778486,0.005197824,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 22:00,s_1,3,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,4,0,0.696801144,0.303198856,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
01-01-2020 23:00,s_1,11,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,20,0,0.37257282,0.62742718,0,0,0,0,0,0,0,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
02-01-2020 00:00,s_1,9,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,21,0,0.711499623,0.220845031,0.002757233,0.064898113,0,0,0,0,0,0,9,0,0,1,0,0,8,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
02-01-2020 02:00,s_1,1,0,0,0,,0,,1,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0.992072274,0.005961805,0.001965921,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
02-01-2020 04:00,s_1,3,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,7,0,0.883817879,0.038082649,0,0.078099473,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,,0,,0,0,0,0,0,,0,,,,,,0,,0,,,,,,,0,,,,,,0,,,,,,,,,0,0,0,,,0,,0,,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
