interval_start,equipment_ID,count_sum,A_028,A_029,A_024,A_045,A_001,A_058,A_064,A_030,A_101,A_002,A_107,A_056,A_015,A_032,A_026,A_003,A_008,A_078,A_070,A_004,A_005,A_009,A_016,A_010,A_027,A_020,A_017,A_048,A_022,A_011,A_012,A_013,A_042,A_023,A_034,A_036,A_079,A_077,A_090,A_021,A_049,A_006,#changes,%idle,%production,%downtime,%performance_loss,%scheduled_downtime,idle/idle,idle/production,idle/downtime,idle/performance_loss,idle/scheduled_downtime,production/idle,production/production,production/downtime,production/performance_loss,production/scheduled_downtime,downtime/idle,downtime/production,downtime/downtime,downtime/performance_loss,downtime/scheduled_downtime,performance_loss/idle,performance_loss/production,performance_loss/downtime,performance_loss/performance_loss,performance_loss/scheduled_downtime,scheduled_downtime/idle,scheduled_downtime/production,scheduled_downtime/downtime,scheduled_downtime/performance_loss,scheduled_downtime/scheduled_downtime,A_043,A_051,A_106,A_050,A_018,A_102,A_031,A_103,A_083,A_081,A_074,A_071,A_073,A_104,A_084,A_105,A_116,A_128,A_109,A_132,A_062,A_131,A_035,A_040,A_039,A_055,A_127,A_007,A_108,A_037,A_119,A_115,A_125,A_124,A_130,A_052,A_129,A_019,A_126,A_110,A_123,A_114,A_120,A_121,A_098,A_095,A_087,A_111,A_117,A_044,A_122,A_085,A_057,A_066,A_112,A_118,A_113,A_093,A_041,A_076,A_088,A_097,A_065,A_091,A_067,A_068,A_033,A_082,A_075,A_099,A_086,A_100,A_096,A_094,A_089,A_092,A_038,A_080,A_069,A_072,A_047,A_059,A_046,A_063,A_053,A_054,A_060,A_061,production_rolling_6h,downtime_rolling_6h,production_change,downtime_change,performance_change,health_score,future_production,future_downtime,future_performance_loss,future_risk,risk_prediction,risk_probability,risk_level
29-09-2021 10:00,s_2,3,0,0,0,0,1,0,,,2,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,,0,,0,6,0.845980318,0.102539709,0.042108092,0.009371881,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430681164,0.25633582,0.097569407,-0.366543034,0.009371881,99.10253971,0.15087773,0.053570279,0.055741585,0,1,61.150925,HIGH
29-09-2021 10:00,s_5,1,,0,0,0,,,,0,1,0,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,0,,3,0,0.923643406,0.074822575,0.001534019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589531652,0.030482092,-0.019047593,0.017513574,0.001534019,99.92364341,0.965107133,0.008345751,0.025134164,0,0,48.11331,MEDIUM
29-09-2021 11:00,s_5,3,,0,0,0,,,,0,2,0,,0,0,,,0,0,,,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,0,,17,0.053667883,0.671296792,0.103573813,0.171461511,0,0,0,0,1,0,0,7,1,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645649892,0.047252492,-0.252346614,0.028751239,0.169927492,99.67129679,0.109638822,0.046931456,0.084324748,0,0,45.625343,MEDIUM
29-09-2021 11:00,s_3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.028172043,0.802793257,0.117242804,0.051791896,0,1,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.827163891,0.111235884,0.076323499,0.024945427,-0.02571124,99.80279326,0.99434059,0.00565941,0,0,0,45.03022,MEDIUM
29-09-2021 12:00,s_3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0.698140545,0.283254259,0.018605196,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81849033,0.11917052,-0.104652712,0.166011454,-0.0331867,99.69814055,0.840986378,0.115300341,0.040674555,0,1,50.58763,MEDIUM
29-09-2021 12:00,s_5,1,,0,0,0,,,,0,1,0,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,0,,10,0.008889061,0.840727896,0.015974487,0.134408556,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696797971,0.047015226,0.169431104,-0.087599326,-0.037052955,99.8407279,0.106346402,0.085476418,0.523853392,1,0,47.49402,MEDIUM
29-09-2021 12:00,s_4,2,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,0,0,0,27,0.062095607,0.574779369,0.099898931,0.263226094,0,3,0,0,1,0,0,9,1,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,0,,0,0,0,0,,0,,0,,,,,,0,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,,,0,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0.479889791,0.105364869,0.55365166,-0.039969397,0.078587133,99.57477937,0.511784238,0.084191854,0.404023908,0,0,46.566048,MEDIUM
29-09-2021 13:00,s_3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.898126365,0.028554079,0.073319556,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802681377,0.123210485,0.19998582,-0.25470018,0.05471436,99.89812637,0.631992013,0.166398996,0.080432777,0,0,41.480263,MEDIUM
29-09-2021 13:00,s_4,2,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,10,0,0.788774228,0.019652048,0.191573724,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,0,,0,0,0,0,,0,,0,,,,,,0,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,,,0,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0.495990003,0.073351548,0.213994859,-0.080246883,-0.071652369,99.78877423,0.841363667,0.05161232,0.098561293,0,1,61.670452,HIGH
29-09-2021 14:00,s_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.970299856,0.029700144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825144137,0.115313062,0.072173491,0.001146065,-0.073319556,99.97029986,0.812848558,0.187151442,0,0,0,38.527153,MEDIUM
